Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,50000
Zero Index,24999.50000000
Vertical Units,V

Labels,
TIME,CH1
-9.87020000e-06,1.08180000e-02
-9.86980000e-06,1.08180000e-02
-9.86940000e-06,1.08180000e-02
-9.86900000e-06,1.08180000e-02
-9.86860000e-06,1.08180000e-02
-9.86820000e-06,1.09900000e-02
-9.86780000e-06,1.09900000e-02
-9.86740000e-06,1.09900000e-02
-9.86700000e-06,1.08180000e-02
-9.86660000e-06,1.08180000e-02
-9.86620000e-06,1.08180000e-02
-9.86580000e-06,1.09900000e-02
-9.86540000e-06,1.09900000e-02
-9.86500000e-06,1.09900000e-02
-9.86460000e-06,1.09900000e-02
-9.86420000e-06,1.09900000e-02
-9.86380000e-06,1.08180000e-02
-9.86340000e-06,1.06460000e-02
-9.86300000e-06,1.06460000e-02
-9.86260000e-06,1.06460000e-02
-9.86220000e-06,1.08180000e-02
-9.86180000e-06,1.08180000e-02
-9.86140000e-06,1.08180000e-02
-9.86100000e-06,1.08180000e-02
-9.86060000e-06,1.08180000e-02
-9.86020000e-06,1.06460000e-02
-9.85980000e-06,1.06460000e-02
-9.85940000e-06,1.06460000e-02
-9.85900000e-06,1.06460000e-02
-9.85860000e-06,1.08180000e-02
-9.85820000e-06,1.08180000e-02
-9.85780000e-06,1.08180000e-02
-9.85740000e-06,1.08180000e-02
-9.85700000e-06,1.06460000e-02
-9.85660000e-06,1.04740000e-02
-9.85620000e-06,1.04740000e-02
-9.85580000e-06,1.06460000e-02
-9.85540000e-06,1.06460000e-02
-9.85500000e-06,1.08180000e-02
-9.85460000e-06,1.09900000e-02
-9.85420000e-06,1.11620000e-02
-9.85380000e-06,1.11620000e-02
-9.85340000e-06,1.13340000e-02
-9.85300000e-06,1.13340000e-02
-9.85260000e-06,1.11620000e-02
-9.85220000e-06,1.09900000e-02
-9.85180000e-06,1.08180000e-02
-9.85140000e-06,1.08180000e-02
-9.85100000e-06,1.08180000e-02
-9.85060000e-06,1.09900000e-02
-9.85020000e-06,1.11620000e-02
-9.84980000e-06,1.13340000e-02
-9.84940000e-06,1.11620000e-02
-9.84900000e-06,1.09900000e-02
-9.84860000e-06,1.08180000e-02
-9.84820000e-06,1.06460000e-02
-9.84780000e-06,1.06460000e-02
-9.84740000e-06,1.06460000e-02
-9.84700000e-06,1.06460000e-02
-9.84660000e-06,1.06460000e-02
-9.84620000e-06,1.06460000e-02
-9.84580000e-06,1.06460000e-02
-9.84540000e-06,1.06460000e-02
-9.84500000e-06,1.04740000e-02
-9.84460000e-06,1.04740000e-02
-9.84420000e-06,1.03020000e-02
-9.84380000e-06,1.03020000e-02
-9.84340000e-06,1.04740000e-02
-9.84300000e-06,1.04740000e-02
-9.84260000e-06,1.04740000e-02
-9.84220000e-06,1.04740000e-02
-9.84180000e-06,1.04740000e-02
-9.84140000e-06,1.04740000e-02
-9.84100000e-06,1.03020000e-02
-9.84060000e-06,1.03020000e-02
-9.84020000e-06,1.03020000e-02
-9.83980000e-06,1.03020000e-02
-9.83940000e-06,1.03020000e-02
-9.83900000e-06,1.03020000e-02
-9.83860000e-06,1.03020000e-02
-9.83820000e-06,1.03020000e-02
-9.83780000e-06,1.03020000e-02
-9.83740000e-06,1.03020000e-02
-9.83700000e-06,1.03020000e-02
-9.83660000e-06,1.03020000e-02
-9.83620000e-06,1.03020000e-02
-9.83580000e-06,1.03020000e-02
-9.83540000e-06,1.03020000e-02
-9.83500000e-06,1.04740000e-02
-9.83460000e-06,1.06460000e-02
-9.83420000e-06,1.06460000e-02
-9.83380000e-06,1.06460000e-02
-9.83340000e-06,1.08180000e-02
-9.83300000e-06,1.08180000e-02
-9.83260000e-06,1.09900000e-02
-9.83220000e-06,1.09900000e-02
-9.83180000e-06,1.09900000e-02
-9.83140000e-06,1.11620000e-02
-9.83100000e-06,1.11620000e-02
-9.83060000e-06,1.09900000e-02
-9.83020000e-06,1.09900000e-02
-9.82980000e-06,1.08180000e-02
-9.82940000e-06,1.08180000e-02
-9.82900000e-06,1.08180000e-02
-9.82860000e-06,1.08180000e-02
-9.82820000e-06,1.08180000e-02
-9.82780000e-06,1.08180000e-02
-9.82740000e-06,1.08180000e-02
-9.82700000e-06,1.08180000e-02
-9.82660000e-06,1.08180000e-02
-9.82620000e-06,1.08180000e-02
-9.82580000e-06,1.08180000e-02
-9.82540000e-06,1.08180000e-02
-9.82500000e-06,1.08180000e-02
-9.82460000e-06,1.06460000e-02
-9.82420000e-06,1.04740000e-02
-9.82380000e-06,1.03020000e-02
-9.82340000e-06,1.01300000e-02
-9.82300000e-06,1.01300000e-02
-9.82260000e-06,1.01300000e-02
-9.82220000e-06,1.03020000e-02
-9.82180000e-06,1.03020000e-02
-9.82140000e-06,1.04740000e-02
-9.82100000e-06,1.04740000e-02
-9.82060000e-06,1.03020000e-02
-9.82020000e-06,1.03020000e-02
-9.81980000e-06,1.03020000e-02
-9.81940000e-06,1.03020000e-02
-9.81900000e-06,1.03020000e-02
-9.81860000e-06,1.04740000e-02
-9.81820000e-06,1.04740000e-02
-9.81780000e-06,1.04740000e-02
-9.81740000e-06,1.04740000e-02
-9.81700000e-06,1.04740000e-02
-9.81660000e-06,1.04740000e-02
-9.81620000e-06,1.03020000e-02
-9.81580000e-06,1.03020000e-02
-9.81540000e-06,1.01300000e-02
-9.81500000e-06,1.01300000e-02
-9.81460000e-06,1.01300000e-02
-9.81420000e-06,1.01300000e-02
-9.81380000e-06,1.03020000e-02
-9.81340000e-06,1.03020000e-02
-9.81300000e-06,1.03020000e-02
-9.81260000e-06,1.03020000e-02
-9.81220000e-06,1.01300000e-02
-9.81180000e-06,1.01300000e-02
-9.81140000e-06,1.01300000e-02
-9.81100000e-06,9.95800000e-03
-9.81060000e-06,9.95800000e-03
-9.81020000e-06,9.95800000e-03
-9.80980000e-06,9.95800000e-03
-9.80940000e-06,9.95800000e-03
-9.80900000e-06,9.95800000e-03
-9.80860000e-06,9.95800000e-03
-9.80820000e-06,1.01300000e-02
-9.80780000e-06,1.01300000e-02
-9.80740000e-06,1.03020000e-02
-9.80700000e-06,1.03020000e-02
-9.80660000e-06,1.03020000e-02
-9.80620000e-06,1.04740000e-02
-9.80580000e-06,1.04740000e-02
-9.80540000e-06,1.04740000e-02
-9.80500000e-06,1.04740000e-02
-9.80460000e-06,1.04740000e-02
-9.80420000e-06,1.04740000e-02
-9.80380000e-06,1.06460000e-02
-9.80340000e-06,1.06460000e-02
-9.80300000e-06,1.06460000e-02
-9.80260000e-06,1.06460000e-02
-9.80220000e-06,1.08180000e-02
-9.80180000e-06,1.06460000e-02
-9.80140000e-06,1.06460000e-02
-9.80100000e-06,1.06460000e-02
-9.80060000e-06,1.06460000e-02
-9.80020000e-06,1.06460000e-02
-9.79980000e-06,1.06460000e-02
-9.79940000e-06,1.06460000e-02
-9.79900000e-06,1.06460000e-02
-9.79860000e-06,1.04740000e-02
-9.79820000e-06,1.03020000e-02
-9.79780000e-06,1.03020000e-02
-9.79740000e-06,1.01300000e-02
-9.79700000e-06,1.01300000e-02
-9.79660000e-06,1.01300000e-02
-9.79620000e-06,1.01300000e-02
-9.79580000e-06,1.03020000e-02
-9.79540000e-06,1.03020000e-02
-9.79500000e-06,1.04740000e-02
-9.79460000e-06,1.04740000e-02
-9.79420000e-06,1.04740000e-02
-9.79380000e-06,1.03020000e-02
-9.79340000e-06,1.03020000e-02
-9.79300000e-06,1.03020000e-02
-9.79260000e-06,1.03020000e-02
-9.79220000e-06,1.03020000e-02
-9.79180000e-06,1.03020000e-02
-9.79140000e-06,1.04740000e-02
-9.79100000e-06,1.04740000e-02
-9.79060000e-06,1.04740000e-02
-9.79020000e-06,1.04740000e-02
-9.78980000e-06,1.04740000e-02
-9.78940000e-06,1.04740000e-02
-9.78900000e-06,1.06460000e-02
-9.78860000e-06,1.06460000e-02
-9.78820000e-06,1.08180000e-02
-9.78780000e-06,1.08180000e-02
-9.78740000e-06,1.08180000e-02
-9.78700000e-06,1.08180000e-02
-9.78660000e-06,1.06460000e-02
-9.78620000e-06,1.04740000e-02
-9.78580000e-06,1.03020000e-02
-9.78540000e-06,1.03020000e-02
-9.78500000e-06,1.03020000e-02
-9.78460000e-06,1.03020000e-02
-9.78420000e-06,1.03020000e-02
-9.78380000e-06,1.03020000e-02
-9.78340000e-06,1.03020000e-02
-9.78300000e-06,1.03020000e-02
-9.78260000e-06,1.03020000e-02
-9.78220000e-06,1.03020000e-02
-9.78180000e-06,1.03020000e-02
-9.78140000e-06,1.03020000e-02
-9.78100000e-06,1.03020000e-02
-9.78060000e-06,1.03020000e-02
-9.78020000e-06,1.01300000e-02
-9.77980000e-06,1.01300000e-02
-9.77940000e-06,1.01300000e-02
-9.77900000e-06,1.03020000e-02
-9.77860000e-06,1.03020000e-02
-9.77820000e-06,1.03020000e-02
-9.77780000e-06,1.04740000e-02
-9.77740000e-06,1.04740000e-02
-9.77700000e-06,1.03020000e-02
-9.77660000e-06,1.03020000e-02
-9.77620000e-06,1.03020000e-02
-9.77580000e-06,1.01300000e-02
-9.77540000e-06,1.01300000e-02
-9.77500000e-06,1.01300000e-02
-9.77460000e-06,1.01300000e-02
-9.77420000e-06,1.01300000e-02
-9.77380000e-06,1.03020000e-02
-9.77340000e-06,1.03020000e-02
-9.77300000e-06,1.04740000e-02
-9.77260000e-06,1.04740000e-02
-9.77220000e-06,1.04740000e-02
-9.77180000e-06,1.06460000e-02
-9.77140000e-06,1.06460000e-02
-9.77100000e-06,1.06460000e-02
-9.77060000e-06,1.08180000e-02
-9.77020000e-06,1.08180000e-02
-9.76980000e-06,1.08180000e-02
-9.76940000e-06,1.08180000e-02
-9.76900000e-06,1.08180000e-02
-9.76860000e-06,1.08180000e-02
-9.76820000e-06,1.08180000e-02
-9.76780000e-06,1.06460000e-02
-9.76740000e-06,1.04740000e-02
-9.76700000e-06,1.04740000e-02
-9.76660000e-06,1.04740000e-02
-9.76620000e-06,1.04740000e-02
-9.76580000e-06,1.06460000e-02
-9.76540000e-06,1.06460000e-02
-9.76500000e-06,1.06460000e-02
-9.76460000e-06,1.06460000e-02
-9.76420000e-06,1.04740000e-02
-9.76380000e-06,1.04740000e-02
-9.76340000e-06,1.04740000e-02
-9.76300000e-06,1.04740000e-02
-9.76260000e-06,1.04740000e-02
-9.76220000e-06,1.06460000e-02
-9.76180000e-06,1.06460000e-02
-9.76140000e-06,1.06460000e-02
-9.76100000e-06,1.04740000e-02
-9.76060000e-06,1.04740000e-02
-9.76020000e-06,1.04740000e-02
-9.75980000e-06,1.04740000e-02
-9.75940000e-06,1.06460000e-02
-9.75900000e-06,1.08180000e-02
-9.75860000e-06,1.09900000e-02
-9.75820000e-06,1.09900000e-02
-9.75780000e-06,1.09900000e-02
-9.75740000e-06,1.08180000e-02
-9.75700000e-06,1.08180000e-02
-9.75660000e-06,1.08180000e-02
-9.75620000e-06,1.08180000e-02
-9.75580000e-06,1.08180000e-02
-9.75540000e-06,1.08180000e-02
-9.75500000e-06,1.08180000e-02
-9.75460000e-06,1.08180000e-02
-9.75420000e-06,1.06460000e-02
-9.75380000e-06,1.06460000e-02
-9.75340000e-06,1.06460000e-02
-9.75300000e-06,1.06460000e-02
-9.75260000e-06,1.08180000e-02
-9.75220000e-06,1.08180000e-02
-9.75180000e-06,1.08180000e-02
-9.75140000e-06,1.06460000e-02
-9.75100000e-06,1.06460000e-02
-9.75060000e-06,1.06460000e-02
-9.75020000e-06,1.06460000e-02
-9.74980000e-06,1.06460000e-02
-9.74940000e-06,1.06460000e-02
-9.74900000e-06,1.06460000e-02
-9.74860000e-06,1.06460000e-02
-9.74820000e-06,1.06460000e-02
-9.74780000e-06,1.06460000e-02
-9.74740000e-06,1.06460000e-02
-9.74700000e-06,1.06460000e-02
-9.74660000e-06,1.08180000e-02
-9.74620000e-06,1.08180000e-02
-9.74580000e-06,1.08180000e-02
-9.74540000e-06,1.08180000e-02
-9.74500000e-06,1.08180000e-02
-9.74460000e-06,1.09900000e-02
-9.74420000e-06,1.09900000e-02
-9.74380000e-06,1.09900000e-02
-9.74340000e-06,1.09900000e-02
-9.74300000e-06,1.09900000e-02
