Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-09
Record Length,250000
Zero Index,124999.18750000
Vertical Units,V

Labels,
TIME,CH1
-9.94961500e-04,1.36000000e-01
-9.94953500e-04,1.35200000e-01
-9.94945500e-04,1.36800000e-01
-9.94937500e-04,1.36000000e-01
-9.94929500e-04,1.36000000e-01
-9.94921500e-04,1.36000000e-01
-9.94913500e-04,1.36000000e-01
-9.94905500e-04,1.36000000e-01
-9.94897500e-04,1.36800000e-01
-9.94889500e-04,1.36000000e-01
-9.94881500e-04,1.36000000e-01
-9.94873500e-04,1.35200000e-01
-9.94865500e-04,1.36000000e-01
-9.94857500e-04,1.36000000e-01
-9.94849500e-04,1.36000000e-01
-9.94841500e-04,1.36800000e-01
-9.94833500e-04,1.36000000e-01
-9.94825500e-04,1.36000000e-01
-9.94817500e-04,1.36000000e-01
-9.94809500e-04,1.36000000e-01
-9.94801500e-04,1.36000000e-01
-9.94793500e-04,1.36000000e-01
-9.94785500e-04,1.35200000e-01
-9.94777500e-04,1.35200000e-01
-9.94769500e-04,1.36000000e-01
-9.94761500e-04,1.35200000e-01
-9.94753500e-04,1.36000000e-01
-9.94745500e-04,1.36000000e-01
-9.94737500e-04,1.36000000e-01
-9.94729500e-04,1.36000000e-01
-9.94721500e-04,1.36000000e-01
-9.94713500e-04,1.35200000e-01
-9.94705500e-04,1.36800000e-01
-9.94697500e-04,1.36000000e-01
-9.94689500e-04,1.36800000e-01
-9.94681500e-04,1.35200000e-01
-9.94673500e-04,1.36000000e-01
-9.94665500e-04,1.36000000e-01
-9.94657500e-04,1.36000000e-01
-9.94649500e-04,1.36000000e-01
-9.94641500e-04,1.36800000e-01
-9.94633500e-04,1.36000000e-01
-9.94625500e-04,1.36800000e-01
-9.94617500e-04,1.36800000e-01
-9.94609500e-04,1.36000000e-01
-9.94601500e-04,1.36000000e-01
-9.94593500e-04,1.36000000e-01
-9.94585500e-04,1.36800000e-01
-9.94577500e-04,1.36000000e-01
-9.94569500e-04,1.36000000e-01
-9.94561500e-04,1.35200000e-01
-9.94553500e-04,1.36000000e-01
-9.94545500e-04,1.36800000e-01
-9.94537500e-04,1.36000000e-01
-9.94529500e-04,1.36000000e-01
-9.94521500e-04,1.36800000e-01
-9.94513500e-04,1.36800000e-01
-9.94505500e-04,1.36800000e-01
-9.94497500e-04,1.36000000e-01
-9.94489500e-04,1.36000000e-01
-9.94481500e-04,1.36800000e-01
-9.94473500e-04,1.36800000e-01
-9.94465500e-04,1.36000000e-01
-9.94457500e-04,1.36800000e-01
-9.94449500e-04,1.36000000e-01
-9.94441500e-04,1.36000000e-01
-9.94433500e-04,1.36000000e-01
-9.94425500e-04,1.36000000e-01
-9.94417500e-04,1.36000000e-01
-9.94409500e-04,1.35200000e-01
-9.94401500e-04,1.36000000e-01
-9.94393500e-04,1.36800000e-01
-9.94385500e-04,1.36000000e-01
-9.94377500e-04,1.36800000e-01
-9.94369500e-04,1.36000000e-01
-9.94361500e-04,1.36000000e-01
-9.94353500e-04,1.36800000e-01
-9.94345500e-04,1.36000000e-01
-9.94337500e-04,1.36800000e-01
-9.94329500e-04,1.36800000e-01
-9.94321500e-04,1.36800000e-01
-9.94313500e-04,1.36800000e-01
-9.94305500e-04,1.36000000e-01
-9.94297500e-04,1.36000000e-01
-9.94289500e-04,1.36000000e-01
-9.94281500e-04,1.36000000e-01
-9.94273500e-04,1.36000000e-01
-9.94265500e-04,1.36000000e-01
