Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,250000
Zero Index,172499.56250000
Vertical Units,V

Labels,
TIME,CH4
-6.88278250e-03,4.58000000e-02
-6.88274250e-03,4.58000000e-02
-6.88270250e-03,4.58000000e-02
-6.88266250e-03,4.58000000e-02
-6.88262250e-03,4.58000000e-02
-6.88258250e-03,4.58000000e-02
-6.88254250e-03,4.58000000e-02
-6.88250250e-03,4.58000000e-02
-6.88246250e-03,4.58000000e-02
-6.88242250e-03,4.58000000e-02
-6.88238250e-03,4.78000000e-02
-6.88234250e-03,4.58000000e-02
-6.88230250e-03,4.58000000e-02
-6.88226250e-03,4.58000000e-02
-6.88222250e-03,4.58000000e-02
-6.88218250e-03,4.58000000e-02
-6.88214250e-03,4.58000000e-02
-6.88210250e-03,4.58000000e-02
-6.88206250e-03,4.58000000e-02
-6.88202250e-03,4.58000000e-02
-6.88198250e-03,4.58000000e-02
-6.88194250e-03,4.78000000e-02
-6.88190250e-03,4.58000000e-02
-6.88186250e-03,4.78000000e-02
-6.88182250e-03,4.78000000e-02
-6.88178250e-03,4.78000000e-02
-6.88174250e-03,4.58000000e-02
-6.88170250e-03,4.58000000e-02
-6.88166250e-03,4.58000000e-02
-6.88162250e-03,4.58000000e-02
-6.88158250e-03,4.58000000e-02
-6.88154250e-03,4.78000000e-02
-6.88150250e-03,4.58000000e-02
-6.88146250e-03,4.58000000e-02
-6.88142250e-03,4.58000000e-02
-6.88138250e-03,4.58000000e-02
-6.88134250e-03,4.58000000e-02
-6.88130250e-03,4.58000000e-02
-6.88126250e-03,4.78000000e-02
-6.88122250e-03,4.58000000e-02
-6.88118250e-03,4.58000000e-02
-6.88114250e-03,4.58000000e-02
-6.88110250e-03,4.58000000e-02
-6.88106250e-03,4.58000000e-02
-6.88102250e-03,4.58000000e-02
-6.88098250e-03,4.58000000e-02
-6.88094250e-03,4.58000000e-02
-6.88090250e-03,4.78000000e-02
-6.88086250e-03,4.58000000e-02
-6.88082250e-03,4.58000000e-02
-6.88078250e-03,4.58000000e-02
-6.88074250e-03,4.58000000e-02
-6.88070250e-03,4.58000000e-02
-6.88066250e-03,4.58000000e-02
-6.88062250e-03,4.58000000e-02
-6.88058250e-03,4.58000000e-02
-6.88054250e-03,4.78000000e-02
-6.88050250e-03,4.58000000e-02
-6.88046250e-03,4.78000000e-02
-6.88042250e-03,4.58000000e-02
-6.88038250e-03,4.58000000e-02
-6.88034250e-03,4.58000000e-02
-6.88030250e-03,4.78000000e-02
-6.88026250e-03,4.58000000e-02
-6.88022250e-03,4.58000000e-02
-6.88018250e-03,4.58000000e-02
-6.88014250e-03,4.58000000e-02
-6.88010250e-03,4.58000000e-02
-6.88006250e-03,4.58000000e-02
-6.88002250e-03,4.58000000e-02
-6.87998250e-03,4.78000000e-02
-6.87994250e-03,4.58000000e-02
-6.87990250e-03,4.58000000e-02
-6.87986250e-03,4.58000000e-02
-6.87982250e-03,4.58000000e-02
-6.87978250e-03,4.58000000e-02
-6.87974250e-03,4.58000000e-02
-6.87970250e-03,4.58000000e-02
-6.87966250e-03,4.58000000e-02
-6.87962250e-03,4.58000000e-02
-6.87958250e-03,4.58000000e-02
-6.87954250e-03,4.58000000e-02
-6.87950250e-03,4.58000000e-02
-6.87946250e-03,4.58000000e-02
-6.87942250e-03,4.58000000e-02
-6.87938250e-03,4.58000000e-02
-6.87934250e-03,4.58000000e-02
-6.87930250e-03,4.58000000e-02
-6.87926250e-03,4.58000000e-02
-6.87922250e-03,4.58000000e-02
-6.87918250e-03,4.58000000e-02
-6.87914250e-03,4.58000000e-02
-6.87910250e-03,4.58000000e-02
-6.87906250e-03,4.58000000e-02
-6.87902250e-03,4.58000000e-02
-6.87898250e-03,4.38000000e-02
-6.87894250e-03,4.58000000e-02
-6.87890250e-03,4.58000000e-02
-6.87886250e-03,4.58000000e-02
-6.87882250e-03,4.78000000e-02
-6.87878250e-03,4.58000000e-02
-6.87874250e-03,4.58000000e-02
-6.87870250e-03,4.58000000e-02
-6.87866250e-03,4.78000000e-02
-6.87862250e-03,4.58000000e-02
-6.87858250e-03,4.58000000e-02
-6.87854250e-03,4.58000000e-02
-6.87850250e-03,4.58000000e-02
-6.87846250e-03,4.58000000e-02
-6.87842250e-03,4.38000000e-02
-6.87838250e-03,4.58000000e-02
-6.87834250e-03,4.58000000e-02
-6.87830250e-03,4.58000000e-02
-6.87826250e-03,4.38000000e-02
-6.87822250e-03,4.58000000e-02
-6.87818250e-03,4.58000000e-02
-6.87814250e-03,4.58000000e-02
-6.87810250e-03,4.78000000e-02
-6.87806250e-03,4.58000000e-02
-6.87802250e-03,4.58000000e-02
-6.87798250e-03,4.58000000e-02
-6.87794250e-03,4.58000000e-02
-6.87790250e-03,4.58000000e-02
-6.87786250e-03,4.58000000e-02
-6.87782250e-03,4.58000000e-02
-6.87778250e-03,4.58000000e-02
-6.87774250e-03,4.58000000e-02
-6.87770250e-03,4.58000000e-02
-6.87766250e-03,4.58000000e-02
-6.87762250e-03,4.58000000e-02
-6.87758250e-03,4.58000000e-02
-6.87754250e-03,4.58000000e-02
-6.87750250e-03,4.58000000e-02
-6.87746250e-03,4.58000000e-02
-6.87742250e-03,4.78000000e-02
-6.87738250e-03,4.78000000e-02
